species	filename	loci_count
D.aphyllum	D.aphylium_miRNA.gff3	109
D.aphyllum	D.aphyllum_miRNA.gff3	109
D.bullenianum_Liu	D.bullenianum_Liu_miRNA.gff3	91
D.cariniferum_Liu	D.cariniferum_Liu_miRNA.gff3	122
D.catenatum_Liu	D.catenatum_Liu_miRNA.gff3	106
D.ChaoPrayaSmile	D.ChaoPrayaSmile_miRNA.gff3	123
D.chrysotoxum_Liu	D.chrysotoxum_Liu_miRNA.gff3	108
D.crocatum	D.crocatum_miRNA.gff3	109
D.crumenatum	D.crumenatum_miRNA.gff3	106
D.devonianum	D.devonianum_miRNA.gff3	121
D.discolor	D.discolor_miRNA.gff3	114
D.ellipsophyllum	D.ellipsophyllum_miRNA.gff3	101
D.exile_Liu	D.exile_Liu_miRNA.gff3	101
D.formosum	D.formosum_miRNA.gff3	126
D.hercoglossum	D.hercoglossum_miRNA.gff3	141
D.jenkinsii	D.jenkinsii_miRNA.gff3	98
D.leonis	D.leonis_miRNA.gff3	108
D.lindleyi_Liu	D.lindleyi_Liu_miRNA.gff3	105
D.nobile_Liu	D.nobile_Liu_miRNA.gff3	110
D.parcum_Liu	D.parcum_Liu_miRNA.gff3	101
D.porphyrochilum_Liu	D.porphyrochilum_Liu_miRNA.gff3	145
D.secundum_Liu	D.secundum_Liu_miRNA.gff3	135
D.smilliae	D.smilliae_miRNA.gff3	133
D.spatella_Liu	D.spatella_Liu_miRNA.gff3	96
D.tetragonum	D.tetragonum_miRNA.gff3	134
D.thyrsiflorum_Liu	D.thyrsiflorum_Liu_miRNA.gff3	276
